Code,Name,Geography,Census 2021,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International migration Net,Other,Estimated Population 2021, ,  
K04000001,ENGLAND AND WALES,Country,"59,597,415","170,671","132,230","38,441","783,265","778,175","5,090",883,0,"59,641,829",,
E92000001,ENGLAND,Country,"56,490,645","162,942","124,015","38,927","756,419","750,461","5,958",889,0,"56,536,419",,
E12000001,NORTH EAST,Region,"2,646,260","6,850","6,974",-124,"24,035","23,362",673,-37,0,"2,646,772",,
E06000047,County Durham,Unitary Authority,"521,885","1,269","1,461",-192,"4,629","4,976",-347,0,0,"521,346",,
E06000005,Darlington,Unitary Authority,"107,740",303,265,38,"1,315",871,444,0,0,"108,222",,
E06000001,Hartlepool,Unitary Authority,"92,295",259,239,20,854,598,256,0,0,"92,571",,
E06000002,Middlesbrough,Unitary Authority,"143,870",476,366,110,"1,511","1,761",-250,4,0,"143,734",,
E06000057,Northumberland,Unitary Authority,"320,560",702,922,-220,"3,002","1,784","1,218",0,0,"321,558",,
E06000003,Redcar and Cleveland,Unitary Authority,"136,475",333,399,-66,"1,154",947,207,0,0,"136,616",,
E06000004,Stockton-on-Tees,Unitary Authority,"196,555",497,451,46,"1,923","1,494",429,0,0,"197,030",,
E11000007,Tyne and Wear (Met County),Metropolitan County,"1,126,880","3,011","2,871",140,"9,647","10,931","-1,284",-41,0,"1,125,695",,
E08000037,Gateshead,Metropolitan District,"196,110",532,537,-5,"1,753","1,705",48,1,0,"196,154",,
E08000021,Newcastle upon Tyne,Metropolitan District,"300,075",807,591,216,"3,362","5,345","-1,983",-44,0,"298,264",,
E08000022,North Tyneside,Metropolitan District,"208,885",527,560,-33,"1,770","1,471",299,0,0,"209,151",,
E08000023,South Tyneside,Metropolitan District,"147,715",438,395,43,938,781,157,0,0,"147,915",,
E08000024,Sunderland,Metropolitan District,"274,095",707,788,-81,"1,824","1,629",195,2,0,"274,211",,
E12000002,NORTH WEST,Region,"7,416,130","21,151","18,004","3,147","80,501","77,688","2,813",205,0,"7,422,295",,
E06000008,Blackburn with Darwen,Unitary Authority,"154,730",567,340,227,"1,304","1,340",-36,1,0,"154,922",,
E06000009,Blackpool,Unitary Authority,"140,995",392,478,-86,"1,738","1,695",43,2,0,"140,954",,
E06000049,Cheshire East,Unitary Authority,"398,675","1,007",976,31,"4,692","2,870","1,822",0,0,"400,528",,
