Code,Name,Geography,Area (sq km),Estimated Population mid-2021,2021 people per sq. km,Estimated Population mid-2011,2011 people per sq. km,Estimated Population mid-2001,2001 people per sq. km
K02000001,UNITED KINGDOM,Country,"242,741","67,026,292",276,"63,285,145",261,"59,113,016",244
K03000001,GREAT BRITAIN,Country,"228,948","65,121,729",284,"61,470,827",268,"57,424,178",251
K04000001,ENGLAND AND WALES,Country,"151,047","59,641,829",395,"56,170,927",372,"52,359,978",347
E92000001,ENGLAND,Country,"130,310","56,536,419",434,"53,107,169",408,"49,449,746",379
E12000001,NORTH EAST,Region,"8,581","2,646,772",308,"2,596,441",303,"2,540,090",296
E06000047,County Durham,Unitary Authority,"2,226","521,346",234,"512,994",230,"493,678",222
E06000005,Darlington,Unitary Authority,197,"108,222",548,"105,584",535,"97,894",496
E06000001,Hartlepool,Unitary Authority,94,"92,571",988,"92,088",983,"90,152",962
E06000002,Middlesbrough,Unitary Authority,54,"143,734","2,668","138,368","2,568","141,233","2,621"
E06000057,Northumberland,Unitary Authority,"5,020","321,558",64,"316,278",63,"307,363",61
E06000003,Redcar and Cleveland,Unitary Authority,245,"136,616",557,"135,164",552,"139,159",568
E06000004,Stockton-on-Tees,Unitary Authority,205,"197,030",961,"191,824",936,"183,795",897
E11000007,Tyne and Wear (Met County),Metropolitan County,540,"1,125,695","2,085","1,104,141","2,045","1,086,816","2,013"
E08000037,Gateshead,Metropolitan District,142,"196,154","1,378","200,349","1,408","191,178","1,343"
E08000021,Newcastle upon Tyne,Metropolitan District,113,"298,264","2,629","279,092","2,460","266,241","2,347"
E08000022,North Tyneside,Metropolitan District,82,"209,151","2,541","201,206","2,445","192,003","2,333"
E08000023,South Tyneside,Metropolitan District,64,"147,915","2,296","148,164","2,300","152,793","2,372"
E08000024,Sunderland,Metropolitan District,137,"274,211","1,995","275,330","2,003","284,601","2,071"
E12000002,NORTH WEST,Region,"14,108","7,422,295",526,"7,055,961",500,"6,772,985",480
E06000008,Blackburn with Darwen,Unitary Authority,137,"154,922","1,131","147,657","1,078","138,453","1,010"
